小区名称,户型,面积(平),租金类型,租金价格(元/月),价格类型,楼层,装修,特色标签,信息来源,录入时间,电梯,备注
国权北路8弄,,,,,,多层,,,即刻社区,2020,无电梯,
国顺路400弄,一室,,参考价,4300,单间参考,多层,,,老大,2026,无电梯,
山北小区,,,,,,多层,,,即刻社区,2020,无电梯,
沪昌公寓,,,,,,高层,,,即刻社区,2020,有电梯,
建新小区,一室,,参考价,5300,单间参考,多层,,精装大一房，阳台采光好，随时扔垃圾,即刻社区,2026,无电梯,很旧，隔音差，水压小，隔壁麻将馆吵，居委会大爷太热情
林绿家园,,,,,,高层,,,即刻社区,2022,有电梯,
民富家园,,,,,,多层,,,即刻社区,2020,无电梯,
民京路837弄,两室一厅,,参考价,0,,多层,,,老大,2026,无电梯,
南茶园,,,,,,多层,,,即刻社区,2020,无电梯,
吉浦路615弄,一室,,整租,4100,总价,高层,,一房首次出租4100元，业主第二次出租，两房精装修6300元，南北全明，精装修,老大,2026,有电梯,
吉浦路615弄,两室一厅,,整租,4100,总价,高层,,一房首次出租4100元，业主第二次出租，两房精装修6300元，南北全明，精装修,老大,2026,有电梯,
仁和苑,四室,156,整租,10700,总价,多层,,156平米四居复式，离公司最近，对面万达，地铁3分钟，门口全家,老大,2026,无电梯,采光一般，手机信号弱，潮湿需除湿机
三门路358弄,两室一厅,,参考价,0,,多层,,南北朝向，厕所可直接冲纸，有钥匙，社区活动多，租客转租，精装修,即刻社区,2026,无电梯,窗户隔音不行，采光一般
三门路555弄,一室一厅,,参考价,3500,单间参考,多层,,,老大,2026,无电梯,
三湘未来海岸,,,,,,高层,,,即刻社区,2020,有电梯,
市光一村,一室一厅,,参考价,4500,单间参考,多层,,精装修,老大,2026,无电梯,
四平路2065弄,一室,,,,,多层,,,老大,2026,无电梯,
四平路2555弄,,,,,,多层,,,即刻社区,2020,无电梯,
铁村小区,一室,,参考价,4300,单间参考,多层,,有钥匙,老大,2026,无电梯,
文化花园,,,,,,高层,,,即刻社区,2020,有电梯,
文化名园,,,,,,多层,,,即刻社区,2020,无电梯,
武川路222弄,一室一厅,,参考价,4400,单间参考,多层/新楼,,有桂花树，水压好，精装修，通风好，采光好，隔音好,即刻社区,2026,无电梯,
武川路245弄,一室,,参考价,4800,单间参考,多层,,精装修，价格小谈,老大,2026,无电梯,
武川路99弄,三室,,,,,多层,,精装修,老大,2026,无电梯,
新江湾城 上海院子,三室两厅两卫,,参考价,0,,电梯洋房,,10号线地铁口，中央空调地暖，电梯洋房中区，精装修，随时入住，高区景观最好的楼层,老大,2026,有电梯,离公司较远
怡福苑,,,,,,高层,,,即刻社区,2020,有电梯,
逸仙二村460弄,一室一厅,,参考价,5500,单间参考,多层,,精装修，可办车位,老大,2026,无电梯,
政德东路108号,一室一厅,,参考价,0,,多层,,邻里和睦，教堂钟声，星巴克楼下，物业每晚提醒关门窗,即刻社区,2026,无电梯,狗屎特别多，排水反胃
政立路639弄,两室两厅,,参考价,0,,多层,,全新装修，首次出租，品牌家电，全屋定制家具,老大,2026,无电梯,
政立路580弄,一室一厅,,参考价,8000,单间参考,多层,,南北通风，精装修，采光好,即刻社区,2026,无电梯,隔音差，装修噪音多，手机信号差，马桶经常堵
政立路580弄,三室一厅,,参考价,0,,多层,,南北通风，精装修，采光好,即刻社区,2026,无电梯,隔音差，装修噪音多，手机信号差，马桶经常堵
政立路580弄,两室一厅,,参考价,0,,多层,,南北通风，精装修，采光好,即刻社区,2026,无电梯,隔音差，装修噪音多，手机信号差，马桶经常堵
政立路6弄,,,,,,板楼,,,即刻社区,2020,无电梯,
政民路150弄,一室,44,整租,5600,总价,多层,,整租一居，来源：自如,老大,2026,无电梯,
政民路230弄,一室,,参考价,5800,单间参考,板楼,,中层，大学路旁边，小区门口垃圾站随便扔，河边安静，精装修全配，靠虬江视野好,即刻社区,2026,无电梯,排水偶尔堵，梅雨季潮湿，中间户型隔音差
政民路230弄,两室,,参考价,0,,板楼,,中层，大学路旁边，小区门口垃圾站随便扔，河边安静，精装修全配，靠虬江视野好,即刻社区,2026,无电梯,排水偶尔堵，梅雨季潮湿，中间户型隔音差
政通路100弄,两室一厅,51,整租,5500,总价,多层,,51-73平米两室，51平5500元，55平5800元，70平6300元，73平7000元，南北通透，水压高,老大,2026,无电梯,
政通路100弄,两室一厅,55,整租,5800,总价,多层,,51-73平米两室，51平5500元，55平5800元，70平6300元，73平7000元，南北通透，水压高,老大,2026,无电梯,
政通路100弄,两室一厅,70,整租,6300,总价,多层,,51-73平米两室，51平5500元，55平5800元，70平6300元，73平7000元，南北通透，水压高,老大,2026,无电梯,
政通路100弄,两室一厅,73,整租,7000,总价,多层,,51-73平米两室，51平5500元，55平5800元，70平6300元，73平7000元，南北通透，水压高,老大,2026,无电梯,
政通路118弄,一室一厅,,参考价,6900,单间参考,高层,,电梯2楼,老大,2026,有电梯,
政通路285弄,,,,,,多层,,,即刻社区,2020,无电梯,
政通路42弄,一室,,参考价,4500,单间参考,多层,,南北通透，隔音好，靠虬江,即刻社区,2026,无电梯,水压小，客厅采光一半不好
正文花园,,,,,,多层,,,即刻社区,2020,无电梯,
政立小区,一室一厅,,参考价,4200,单间参考,多层,,家具全配,老大,2026,无电梯,
创智坊 伟德路10弄,,92,整租,9781,总价,高层,,,老大,2026,有电梯,
创智坊 伟德路10弄,三室一厅,152,整租,15000,总价,高层,,复式,老大,2026,有电梯,
创智坊 伟德路10弄,三室一厅,92,整租,10500,总价,高层,,,老大,2026,有电梯,
创智坊 伟德路10弄,两室一厅,86,整租,10000,总价,高层,,,老大,2026,有电梯,
创智坊 伟德路10弄,三室一厅,116,整租,13000,总价,高层,,,老大,2026,有电梯,
国定路555弄,三室一厅,62,整租,7100,总价,多层,,,老大,2026,无电梯,
国定路555弄,一室一厅,30,整租,4700,总价,多层,,,老大,2026,无电梯,
国定路555弄,三室一厅,60,整租,6900,总价,多层,,,老大,2026,无电梯,
国定路555弄,三室一厅,60,整租,6000,总价,多层,,,老大,2026,无电梯,
国定路555弄,两室一厅,42,整租,5400,总价,多层,,,老大,2026,无电梯,
国定路555弄,两室一厅,54,整租,5000,总价,多层,,,老大,2026,无电梯,
国定路财大小区,两室一厅,,整租,6400,总价,多层,精装修,一楼，看房方便,老大,2026,无电梯,
国定路财大小区,两室一厅,,整租,6500,总价,多层,精装修,双南，约看房,老大,2026,无电梯,
国定路财大小区,一室一厅,53,整租,5300,总价,多层,,,老大,2026,无电梯,
国定路财大小区,一室一厅,41,整租,4500,总价,多层,,,老大,2026,无电梯,
国定路财大小区,三室一厅,60,整租,7500,总价,多层,,,老大,2026,无电梯,
国定路财大小区,两室一厅,54,整租,5500,总价,多层,,,老大,2026,无电梯,
国定路财大小区,两室一厅,46,整租,4900,总价,多层,,,老大,2026,无电梯,
国定路600弄,两室一厅,48,整租,5199,总价,旧楼,,,老大,2026,无电梯,
国定路600弄,一室一厅,32,整租,4560,总价,旧楼,,,老大,2026,无电梯,
国定路600弄,两室一厅,51,整租,5300,总价,旧楼,,,老大,2026,无电梯,
国定路600弄,两室一厅,50,整租,6000,总价,旧楼,,,老大,2026,无电梯,
国定路600弄,一室一厅,45,整租,6000,总价,旧楼,,,老大,2026,无电梯,
政立路580弄,两室一厅,65,整租,4800,总价,多层,,,老大,2026,无电梯,
政立路580弄,一室一厅,53,整租,5200,总价,多层,,,老大,2026,无电梯,
政立路580弄,两室一厅,63,整租,7800,总价,多层,,,老大,2026,无电梯,
国定路601弄,两室一厅,51,整租,6600,总价,多层,,,老大,2026,无电梯,
国定路601弄,一室一厅,37,整租,4600,总价,多层,,,老大,2026,无电梯,
国定路601弄,一室一厅,36,整租,4100,总价,多层,,,老大,2026,无电梯,
国定路601弄,两室一厅,56,整租,5990,总价,多层,,,老大,2026,无电梯,
三门路48弄,一室一厅,29,整租,4600,总价,多层,,,老大,2026,无电梯,
三门路48弄,一室一厅,36,整租,5200,总价,多层,,,老大,2026,无电梯,
政通路118弄,两室一厅,91,整租,10000,总价,高层,,,老大,2026,有电梯,
政通路118弄,两室一厅,100,整租,8500,总价,高层,,,老大,2026,有电梯,
政通路118弄,一室一厅,55,整租,7000,总价,高层,,,老大,2026,有电梯,
北茶园,一室一厅,44,整租,4700,总价,多层,,,老大,2026,无电梯,
北茶园,一室一厅,41,整租,4800,总价,多层,,,老大,2026,无电梯,
北茶园,一室一厅,41,整租,4300,总价,多层,,,老大,2026,无电梯,
林绿家园,一室一厅,43,整租,4200,总价,高层,,,老大,2026,有电梯,
林绿家园,两室一厅,56,整租,6400,总价,高层,,,老大,2026,有电梯,
林绿家园,一室一厅,40,整租,5300,总价,高层,,,老大,2026,有电梯,
林绿家园,两室一厅,48,整租,5400,总价,高层,,,老大,2026,有电梯,
建新小区,两室一厅,52,整租,6300,总价,多层,,,老大,2026,无电梯,
建新小区,一室一厅,34,整租,4200,总价,多层,,,老大,2026,无电梯,
建新小区,一室一厅,39,整租,4400,总价,多层,,,老大,2026,无电梯,
建新小区,两室一厅,46,整租,4500,总价,多层,,,老大,2026,无电梯,
建新小区,两室一厅,53,整租,5200,总价,多层,,,老大,2026,无电梯,
建新小区,两室一厅,46,整租,5000,总价,多层,,,老大,2026,无电梯,
盛世豪园1期,两房两厅,0,整租,16800,总价,高层,精装,精装,Openclaw,2026,有电梯,
